"Biblioteksnummer";"Navn";"Adresse";"Postnummer";"By";"Telefon";"Email";"Leder"
"700300";"Poster vedr. sproglige minoriteter Det Kgl. Bibliotek";"Christians Brygge 8";"1219";"København K";"33474747";"kb@kb.dk";"Svend Larsen"
"700400";"Dansk Centralbibliotek for Sydslesvig e.V.";"Norderstrasse 59, 24939 Flensburg";"6330";"Padborg";"+49 46 18 69 70";"dcb@dcbib.dk";"Jens M. Henriksen"
"710100";"Københavns Biblioteker";"Krystalgade 15";"1172";"København K";"33 66 30 00";"bibliotek@kff.kk.dk";"Jakob Heide Petersen"
"714700";"Biblioteket Frederiksberg";"Falkonér Plads 3";"2000";"Frederiksberg";"38 21 18 00";"biblioteket@frederiksberg.dk";"Tina Pihl"
"715100";"Ballerup Bibliotekerne";"Banegårdspladsen 1";"2750";"Ballerup";"44 77 33 33";"Ballerup-bibliotek@balk.dk";"Ravinder Kaur-Pedersen"
"715300";"Brøndby-Bibliotekerne";"Nygårds Plads 31";"2605";"Brøndby";"43 28 20 00";"bibliotek@brondby.dk";"Rune Erbs Ledet"
"715500";"Dragør Bibliotek";"Vestgrønningen 18-20";"2791";"Dragør";"32 89 04 90";"bibliotek@dragoer.dk";"Pauline Raff"
"715700";"Gentofte Bibliotekerne";"Ahlmanns Alle 6";"2900";"Hellerup";"39 98 58 00";"bibliotek@gentofte.dk";"Maria Bruun"
"715900";"Gladsaxe Bibliotekerne";"Søborg Hovedgade 220";"2860";"Søborg";"39 57 63 00";"bibliotek@gladsaxe.dk";"Jakob Guillois Lærkes"
"716100";"Glostrup Bibliotek";"Kildevældets Alle 5";"2600";"Glostrup";"43 23 68 20";"glostrup@glostrupbib.dk";"Helle Ratz"
"716300";"Herlev Bibliotek";"Herlev Bygade 70";"2730";"Herlev";"44 52 57 00";"post@herlevbibliotek.dk";"Thomas Angermann"
"716500";"Albertslund Bibliotek";"Bibliotekstorvet 2";"2620";"Albertslund";"43 68 70 00";"bibliotek@albertslund.dk";"Marie-Louise Fischer Hoffmann"
"716700";"HvidovreBibliotekerne";"Hvidovrevej 280";"2650";"Hvidovre";"36 39 20 00";"hvbib@hvidovre.dk";"Rebekka Kinimond Carlson"
"716900";"Høje-Taastrup Kommunes Biblioteker";"Taastrup Hovedgade 86";"2630";"Taastrup";"43 35 20 00";"bib@htk.dk";"Mia Keinicke"
"717300";"Lyngby-Taarbæk Bibliotekerne";"Lyngby Hovedgade 28";"2800";"Kongens Lyngby";"45 97 37 00";"info@ltk.dk";"Søren Mørk Petersen"
"717500";"Rødovre Bibliotek";"Rødovre Parkvej 140";"2610";"Rødovre";"36 37 97 00";"biblioteket@rk.dk";"Karsten Thomsen"
"718300";"Kulturium Ishøj Bibliotek";"Ishøj Store Torv 1";"2635";"Ishøj";"43 57 71 71";"isbib@ishoj.dk";"Marie Herborn"
"718500";"Tårnby Kommunebiblioteker";"Kamillevej 10";"2770";"Kastrup";"32 46 05 00";"bibliotek@taarnby.dk";"Bente Nielsen"
"718700";"Vallensbæk Bibliotek";"Vallensbæk Stationstorv 40";"2665";"Vallensbæk Strand";"47 97 47 00";"vbi@vallensbaek.dk";"Annette Hein-Sørensen"
"719000";"Furesø Bibliotek & Borgerservice";"Bymidten 48";"3500";"Værløse";"72 35 46 35";"bibliotek@furesoe.dk";"Ricki Elsgaard"
"720100";"Allerød Biblioteker";"Skovensvej 4";"3450";"Allerød";"48 12 60 00";"bibliotek@alleroed.dk";"Annette Wolgenhagen Godt"
"721000";"Fredensborg Bibliotekerne";"Jernbanegade 3";"3480";"Fredensborg";"72 56 22 00";"bibliotekerne@fredensborg.dk";"Tania Schwartz"
"721700";"Helsingør Kommunes Biblioteker";"Biblioteket Kulturværftet, Allegade 2";"3000";"Helsingør";"49 28 36 20";"biblioteket@helsingor.dk";"Andrew Cranfield"
"721900";"Hillerød Bibliotekerne";"Christiansgade 1, Postboks 252";"3400";"Hillerød";"72 32 58 00";"bibliotek@hillerod.dk";"Stine Holmstrøm Have"
"722300";"Hørsholm Bibliotek";"Bibliotekstorvet 1";"2970";"Hørsholm";"48 49 57 50";"horsbib@horsholm.dk";"Christina Skov Petersen"
"723000";"Rudersdal Bibliotekerne";"Stationsvej 38";"3460";"Birkerød";"46 11 57 00";"bibliotek@rudersdal.dk";"Stig Grøntved Starck"
"724000";"Egedal Bibliotekerne";"Flodvej 68, Smørumnedre";"2765";"Smørum";"72 59 77 00";"egedalbibliotekerne@egekom.dk";"Peter Høybye"
"725000";"Frederikssund Bibliotekerne";"Jernbanegade 24";"3600";"Frederikssund";"47353000";"bibliotekerne@frederikssund.dk";"Mette Jonstrup Larsen"
"725300";"Greve Bibliotek";"Portalen 2";"2670";"Greve";"43 95 80 00";"greve@grevebib.dk";"Tina Kahn"
"725900";"Køge Bibliotekerne";"Kirkestræde 18";"4600";"Køge";"56 67 28 00";"koegebib@koege.dk";"Henriette Ritz Kylmann"
"726000";"Halsnæs Bibliotekerne";"Torvet 41";"3300";"Frederiksværk";"47784100";"bibliotek@halsnaes.dk";"Jakob Vibe Matzen"
"726500";"Roskilde Bibliotekerne";"Dronning Margrethes Vej 14, Postbox 229";"4000";"Roskilde";"46 31 50 00";"adm@roskilde.dk";"Stine Staunsager Larsen"
"726900";"Solrød Bibliotek og Kulturhus";"Solrød Center 4";"2680";"Solrød Strand";"56 18 28 00";"solbib@solrod.dk";"Lone Billehøj"
"727000";"Gribskov Biblioteker";", Skolegade 43";"3200";"Helsinge";"72 49 60 06";"biblioteket@gribskov.dk";"Karin Marcussen"
"730600";"Odsherred Bibliotek og Kulturhuse";"Vesterbro Torv 4";"4500";"Nykøbing Sj";"59 66 50 00";"biblioteket@odsherred.dk";"Jesper Lorentz Bertelsen"
"731600";"Holbæk Bibliotekerne";"Nygade 9-13";"4300";"Holbæk";"72 36 36 06";"holbib@holb.dk";"Piet Dahlstrøm-Nielsen"
"732000";"Faxe Kommunes Biblioteker & Borgerservice";"Jernbanegade 62";"4690";"Haslev";"56 20 28 00";"bibliotek@faxekommune.dk";"Anders von Buchwald"
"732600";"Kalundborg Biblioteker";"Klostertorvet 2, Postbox 159";"4400";"Kalundborg";"59 53 55 60";"klbbibliotek@kalundborg.dk";"Jane Hald Christiansen"
"732900";"Ringsted Bibliotek & Borgerservice";"Tværallé 1-3";"4100";"Ringsted";"57 62 70 01";"biblioteket@ringsted.dk";"Anders Clausen"
"733000";"Slagelse Biblioteker og Borgerservice";"Stenstuegade 3";"4200";"Slagelse";"58 57 57 57";"bibliotek@slagelse.dk";"Sanne Kjerstein Madsen"
"733600";"Stevns Bibliotekerne";"Kirketorvet 2";"4660";"Store Heddinge";"56 50 30 70";"bibliotek@stevns.dk";"May-Britt Diechmann"
"734000";"Sorø Bibliotek";"Storgade 7";"4180";"Sorø";"57 87 70 00";"biblioteket@soroe.dk";"Randi Drejsig Keinicke Petersen"
"735000";"Lejre Bibliotek & Arkiv";"Bygaden 53";"4070";"Kirke Hyllinge";"46 46 16 46";"biblioteket@lejre.dk";"Tobias Mortensen"
"736000";"LollandBibliotekerne";"Søvej 8";"4900";"Nakskov";"54 67 75 00";"bib@lolland.dk";"Rasmus Stig Nielsen"
"737000";"Næstved Bibliotek og Borgerservice";"Kvægtorvet 4-6";"4700";"Næstved";"5588 5588";"bibliotekerne@naestved.dk";"Karen Delfs"
"737600";"Guldborgsund-bibliotekerne";"Kongensgade 43";"4800";"Nykøbing F";"54731662";"bibvok@guldborgsund.dk";"Charlotte Møller"
"739000";"Vordingborg Bibliotekerne";"Sydhavnsvej 6";"4760";"Vordingborg";"55 36 38 00";"bibliotekerne@vordingborg.dk";"Henning Schmidt"
"740000";"Bornholms Folkebiblioteker";"Pingels Alle 1";"3700";"Rønne";"56 92 68 00";"roennebibliotek@brk.dk";"Jon Madsen"
"741000";"Middelfart Bibliotek";"KulturØen, Havnegade 6";"5500";"Middelfart";"88 88 52 10";"bibliotek@middelfart.dk";"Charlotte C. Pedersen"
"742000";"AssensBibliotekerne";"Willemoes Plads 3";"5610";"Assens";"64 74 79 21";"assensbib@assens.dk";"Helle Skaarup"
"743000";"Faaborg-Midtfyn Bibliotekerne";"Herregårdscentret";"5600";"Faaborg";"72538100";"bibliotek@fmk.dk";"Birthe Mogensen"
"744000";"Kerteminde Bibliotekerne";"Lindøalleen 49";"5330";"Munkebo";"65 15 11 10";"bibliotek@kerteminde.dk";"Dorte Rugtved"
"745000";"Nyborg Bibliotek";"Torvet 11";"5800";"Nyborg";"63 33 70 75";"bibliotek@nyborg.dk";"Winnie Foldager"
"746100";"Odense Bibliotekerne";"By- og Kulturforvaltningen. Borgernes Hus, Østre Stationsvej 15";"5000";"Odense C";"66 13 13 72";"adm-bib@odense.dk";"Kent Skov Andreasen"
"747900";"Svendborg Bibliotek";"Svinget 1";"5700";"Svendborg";"62 23 50 00";"bibliotek@svendborg.dk";"Berit Sandholdt Jacobsen"
"748000";"Bibliotek og Borgerservice Nordfyns Kommune";"Søndergade 2";"5450";"Otterup";"64 82 86 80";"nfb@nordfynskommune.dk";"Dorthe Schmidt Temberg"
"748200";"Langeland Bibliotek";"Østerport 5-7";"5900";"Rudkøbing";"63 51 63 30";"langeland.bibliotek@langelandkommune.dk";"Anni Bagge Jensen"
"749200";"Ærø Folkebibliotek";"Søndergade 16B";"5970";"Ærøskøbing";"62 52 14 42";"bibliotek@arrebib.dk";"Lasse Wilsdahl"
"751000";"Haderslev Bibliotekerne";"Bispebroen 3";"6100";"Haderslev";"74 34 77 77";"haderslevbib@haderslev.dk";"Lotte Leth-Sørensen"
"753000";"Billund Bibliotekerne og Borgerservice";"Tinghusgade 15";"7200";"Grindsted";"79 72 70 17";"bibliotek@billund.dk";"Rasmus Kaufmann"
"754000";"Biblioteket Sønderborg";"Nørre Havnegade 15";"6400";"Sønderborg";"88 72 42 00";"biblioteket@sonderborg.dk";"Carsten Nicolaisen"
"755000";"Tønder Kommunes Biblioteker";"Richtsensgade 10";"6270";"Tønder";"74 92 98 40";"biblioteket@toender.dk";"Katja Kærgaard"
"756100";"Esbjerg Kommunes Biblioteker";"Nørregade 19, Postbox 69";"6701";"Esbjerg";"76 16 20 00";"biblio@esbjerg.dk";"Ann-Britt von Seelen"
"757300";"Varde Bibliotek";"Rådhusstræde 2";"6800";"Varde";"75 22 10 88";"biblioteket@vardebib.dk";"Peter Holm Lindgaard"
"757500";"Vejen Kommunes Biblioteker";"Vestergade 2";"6600";"Vejen";"79 96 52 50";"vejbib@vejenkom.dk";"Kasper Østergaard Grønkjær"
"758000";"Aabenraa Biblioteker og Kulturhuse";"Haderslevvej 3";"6200";"Aabenraa";"7376 8080";"aabenraabib@aabenraa.dk";"Charlotte Stoltenberg"
"760700";"Fredericia Bibliotek";"Prinsessegade 27";"7000";"Fredericia";"72 10 68 00";"biblioteket@fredericia.dk";"Erik Thorlund Jepsen"
"761500";"Horsens Kommunes Biblioteker";"Tobaksgården 12, Postbox 521";"8700";"Horsens";"76292400";"bibliotek@horsens.dk";"Claus Hagstrøm Hansen"
"762100";"Koldingbibliotekerne";"Slotssøvejen 4";"6000";"Kolding";"79 79 11 00";"bibliotek@kolding.dk";"Pia Henriette Friis"
"763000";"Vejle Bibliotekerne";"Willy Sørensens Plads 1";"7100";"Vejle";"76 81 32 00";"vejlebib@vejlebib.dk";"Mette Høxbro"
"765700";"Herning Bibliotekerne";"Østergade 8";"7400";"Herning";"96 28 88 00";"biblioteket@herning.dk";"Pernille Schaltz"
"766100";"Holstebro Bibliotek";"Kirkestræde 13";"7500";"Holstebro";"96 11 68 00";"holstebro.bibliotek@holstebro.dk";"Trine Petersen"
"766500";"Lemvig Bibliotek";"Skolegade 3";"7620";"Lemvig";"96 63 15 00";"bibliotek@lemvig.dk";"Lone Krøgh"
"767100";"Struer Bibliotek";"Smedegade 1";"7600";"Struer";"96 84 85 00";"bibliotek@struer.dk";"Rasmus Thøgersen"
"770600";"Syddjurs Bibliotek";"Skolevej 12";"8410";"Rønde";"87 53 57 10";"syddjursbibliotek@syddjurs.dk";"Rasmus Kudahl Kaae Munch"
"770700";"Norddjurs Biblioteker";"N. P. Josiassensvej 17";"8500";"Grenaa";"89 59 27 67";"grenaa.bib@norddjurs.dk";"Lars Mikael Lerche"
"771000";"Favrskov Bibliotekerne";"Skovvej 18";"8382";"Hinnerup";"89 64 14 55";"favrskovbibliotekerne@favrskov.dk";"Ulla Egeberg"
"772700";"Odder Bibliotek";"Mejerivej 14";"8300";"Odder";"87 80 35 50";"bibliotek@odder.dk";"Jesper Simonsen"
"773000";"Randers Bibliotek";"Stemannsgade 2, Postbox 917";"8900";"Randers C";"87 10 68 00";"hovedbiblioteket@randersbib.dk";"Lone Føgh Westphall"
"774000";"Silkeborg Bibliotekerne";"Hostrupsgade 41 A";"8600";"Silkeborg";"87 22 19 00";"silkeborgbibliotek@silkeborgbib.dk";"Lars Bornæs"
"774100";"Samsø Bibliotek";"Marsk Stigs Vej 5A";"8305";"Samsø";"87 92 23 55";"bibliotek@samsoe.dk";"Helle Griebel Anesen"
"774600";"Skanderborg Bibliotek";"Parkvej 10B";"8660";"Skanderborg";"87 94 29 60";"biblioteket@skanderborg.dk";"Jens-Ole Winther"
"775100";"Aarhus Kommunes Biblioteker";"Hack Kampmanns Plads 2";"8000";"Aarhus C";"89 40 92 00";"borgerserviceogbiblioteker@aarhus.dk";"Marie Østergård"
"775600";"Ikast-Brande Bibliotek";"Grønnegade 25";"7430";"Ikast";"99 60 51 20";"ikastbibliotek@ikast-brande.dk";"Martin Lundsgaard-Leth"
"776000";"Ringkøbing-Skjern Bibliotekerne";"Ved Fjorden 6";"6950";"Ringkøbing";"99 74 26 00";"ringbib@rksk.dk";"Per Høgh"
"776600";"Hedensted Bibliotekerne";"Østerbrogade 26";"8722";"Hedensted";"79 74 13 70";"hedenstedbib@hedensted.dk";"Heidi Kudahl Sørensen"
"777300";"Morsø Folkebibliotek";"Støberiet, Holgersgade 7";"7900";"Nykøbing M";"99 70 60 00";"bibliotek@morsoe.dk";"Søren Knøs Christensen"
"777900";"Skive Bibliotek";"Østergade 25";"7800";"Skive";"99 15 70 00";"skivebibliotek@skivekommune.dk";"Vita Debel"
"778700";"Biblioteket i Thy";"Tingstrupvej 19";"7700";"Thisted";"99 17 28 00";"bibliotek@thisted.dk";"Eva Sjælland"
"779100";"Viborg Bibliotekerne";"Vesterbrogade 15, Postbox 514";"8800";"Viborg";"87 87 34 34";"viborgbibliotekerne@viborg.dk";"Britta Thuun-Petersen"
"781000";"Brønderslev Bibliotek";"P.N. Jensens Plads 5";"9700";"Brønderslev";"99 45 47 47";"bibliotek@99454545.dk";"Marianne Hundebøl"
"781300";"Bibliotek & Borgerservice Frederikshavn Kommune";"Parallelvej 16";"9900";"Frederikshavn";"98 45 91 00";"bibl@frederikshavn.dk";"Anette Ravnholt"
"782000";"Vesthimmerlands Biblioteker";"Søndergade 24";"9600";"Aars";"99 66 85 10";"bibliotek@vesthimmerland.dk";"Finn Christiansen"
"782500";"Læsø Bibliotek";"Byrum Hovedgade 58";"9940";"Læsø";"9621 3129";"biblioteket@laesoe.dk";"Lotte Keller Christensen"
"784000";"Rebild Bibliotekerne";"Grangårdsvej 13";"9530";"Støvring";"99 88 77 40";"bibliotek@rebild.dk";"Lone Skov Sørensen"
"784600";"Mariagerfjord Bibliotekerne";"Adelgade 28-30";"9500";"Hobro";"9711 5200";"hobrobibliotek@mariagerfjord.dk";"Mette Secher Hede"
"784900";"Jammerbugt Bibliotekerne";"Rotfeldsvej 11";"9460";"Brovst";"72 57 85 00";"hovedbibliotek@jammerbugt.dk";"Peter Otto Yde Thomsen"
"785100";"Aalborg Bibliotekerne";"Rendsburggade 2, Postbox 839";"9100";"Aalborg";"99 31 44 00";"bibliotek@aalborg.dk";"Kristine Nygaard"
"786000";"Hjørring Bibliotekerne";"Østergade 30";"9800";"Hjørring";"72 33 48 00";"bibliotekerne@hjoerring.dk";"Benthe Hansen"
"790900";"DBC-Testbiblioteksvæsen";"Vsn-B.adresse";"1234";"Vsn-testby";"44867777 (fra BS)";"librarymail@dbc.dk";""
"791615";"Horsens Gymnasium, Biblioteket";"";"";"";"";"";""
"792615";"Horsens Statsskole, Biblioteket";"";"";"";"";"";""
"900455";"Bókasavnið við Løkin";"Rókavegur 1";"620";"Runavik";"47 73 37";"";"Svend Højgaard"
"900500";"Maniitsumi atuakkanik atorniartarfik";"";"";"";"";"";""
"911116";"Býarbókasavnið";"";"";"";"";"";""
"911130";"Nunatta Atuagaateqarfia/Det grønlandske Landsbibliotek";"Postboks 1011
Imaneq 26";"3900";"Nuuk";"";"";""
"945800";"Sisimiuni atuakkanik atorniartarfik";"";"";"";"";"";""
